Country,Product,Units Sold,Manufacturing_Price,Sale Price,Gross Sales,Discounts,Sales,COGS,Profit,Date,Month_Name,Year
United States of America,Burlington,1901,120,125,237625,45712.5,191912.5,292560,-100647.5,01-12-2018,December,2020
United States of America,Burlington,2980,120,12,35760,1645.2,34114.8,2742,31372.8,01-12-2020,December,2020
Japan,Mandarin,4068,250,20,81360,2596.5,78763.5,8655,70108.5,01-07-2020,July,2020
India,Mandarin,2105,250,15,31575,1107,30468,4920,25548,01-07-2020,July,2020
United States of America,Mandarin,1647,250,20,32940,801,32139,2670,29469,01-10-2018,October,2020
India,Mandarin,235,250,15,3525,2643.75,881.25,11750,-10868.75,01-10-2020,October,2020
Japan,Mandarin,3617,250,125,452125,55387.5,396737.5,354480,42257.5,01-11-2018,November,2020
India,Mandarin,2106,250,125,263250,10350,252900,66240,186660,01-11-2020,November,2020
United Kingdom,Mandarin,2351,250,20,47020,879,46141,2930,43211,01-12-2020,December,2020
United Kingdom,Luxe,1897,260,300,569100,111375,457725,618750,-161025,01-03-2020,March,2020
Brazil,Luxe,647,260,300,194100,24570,169530,136500,33030,01-10-2020,October,2020
Brazil,Royal Oak,3621,5,7,25347,1436.4,23910.6,6840,17070.6,01-02-2020,February,2020
Japan,Vermont,3221,10,7,22547,759.15,21787.85,3615,18172.85,01-04-2020,April,2020
United States of America,Mandarin,493,250,12,5916,3250.8,2665.2,5418,-2752.8,01-05-2020,May,2020
United Kingdom,Vermont,3561,10,7,24927,276.15,24650.85,19725,4925.85,01-01-2019,January,2019
United Kingdom,Vermont,1823,10,15,27345,344.4,27000.6,22960,4040.6,01-02-2019,February,2019
United Kingdom,Vermont,2795,10,7,19565,72.1,19492.9,5150,14342.9,01-05-2019,May,2019
United Kingdom,Burlington,457,120,7,3199,44.73,3154.27,3195,-40.73,01-11-2019,November,2019
Japan,Mandarin,3785,250,7,26495,92.82,26402.18,6630,19772.18,01-03-2019,March,2019
United States of America,Kensington,748,3,12,8976,222.96,8753.04,5574,3179.04,01-02-2019,February,2019
Brazil,Kensington,1021,3,350,357350,4235,353115,314600,38515,01-03-2019,March,2019
United States of America,Kensington,2076,3,7,14532,177.03,14354.97,12645,1709.97,01-07-2019,July,2019
Japan,Kensington,4316,3,12,51792,173.4,51618.6,4335,47283.6,01-09-2019,September,2019
United Kingdom,Kensington,4174,3,12,50088,320.52,49767.48,8013,41754.48,01-09-2019,September,2019
Brazil,Kensington,3736,3,350,1307600,4889.5,1302710.5,363220,939490.5,01-10-2019,October,2019
United Kingdom,Kensington,1914,3,350,669900,7542.5,662357.5,560300,102057.5,01-12-2019,December,2019
Brazil,Royal Oak,2742,5,15,41130,332.1,40797.9,22140,18657.9,01-03-2019,March,2019
United States of America,Royal Oak,1499,5,300,449700,6903,442797,575250,-132453,01-04-2019,April,2019
United Kingdom,Royal Oak,3772,5,20,75440,275.1,75164.9,13755,61409.9,01-07-2019,July,2019
Japan,Royal Oak,1112,5,7,7784,128.1,7655.9,9150,-1494.1,01-08-2019,August,2019
United States of America,Vermont,2368,10,15,35520,227.1,35292.9,15140,20152.9,01-02-2019,February,2019
United States of America,Vermont,1586,10,7,11102,314.48,10787.53,22462.5,-11674.98,01-04-2019,April,2019
United States of America,Vermont,3386,10,125,423250,908.75,422341.25,87240,335101.25,01-06-2019,June,2019
United Kingdom,Vermont,852,10,125,106500,983.75,105516.25,94440,11076.25,01-06-2019,June,2019
Brazil,Vermont,2783,10,125,347875,2278.75,345596.25,218760,126836.25,01-07-2019,July,2019
India,Vermont,2684,10,15,40260,112.05,40147.95,7470,32677.95,01-09-2019,September,2019
United States of America,Vermont,4083,10,300,1224900,8715,1216185,726250,489935,01-11-2019,November,2019
United Kingdom,Vermont,2816,10,350,985600,7542.5,978057.5,560300,417757.5,01-12-2019,December,2019
United Kingdom,Burlington,4294,120,20,85880,772.8,85107.2,38640,46467.2,01-04-2019,April,2019
Brazil,Burlington,2856,120,7,19992,25.34,19966.66,1810,18156.66,01-05-2019,May,2019
Japan,Burlington,1407,120,125,175875,1153.75,174721.25,110760,63961.25,01-08-2019,August,2019
India,Mandarin,1265,250,7,8855,18.41,8836.59,1315,7521.59,01-03-2019,March,2019
Japan,Mandarin,3892,250,350,1362200,3302.25,1358897.75,245310,1113587.75,01-04-2019,April,2019
United States of America,Mandarin,3068,250,125,383500,908.75,382591.25,87240,295351.25,01-06-2019,June,2019
United Kingdom,Mandarin,2181,250,125,272625,983.75,271641.25,94440,177201.25,01-06-2019,June,2019
India,Mandarin,1356,250,300,406800,2958,403842,246500,157342,01-09-2019,September,2019
Brazil,Mandarin,1814,250,350,634900,4889.5,630010.5,363220,266790.5,01-10-2019,October,2019
United Kingdom,Mandarin,1495,250,125,186875,2180,184695,209280,-24585,01-11-2019,November,2019
Japan,Kensington,1463,3,125,182875,1856.25,181018.75,89100,91918.75,01-04-2019,April,2019
Japan,Kensington,215,3,12,2580,310.8,2269.2,3885,-1615.8,01-10-2019,October,2019
Japan,Kensington,566,3,350,198100,19964,178136,741520,-563384,01-12-2019,December,2019
United States of America,Royal Oak,3255,5,12,39060,274.08,38785.92,3426,35359.92,01-06-2019,June,2019
United States of America,Royal Oak,772,5,20,15440,626.4,14813.6,15660,-846.4,01-10-2019,October,2019
Brazil,Royal Oak,1135,5,12,13620,165.6,13454.4,2070,11384.4,01-11-2019,November,2019
Japan,Vermont,1193,10,15,17895,708.9,17186.1,23630,-6443.9,01-02-2019,February,2019
United Kingdom,Vermont,2530,10,300,759000,5508,753492,229500,523992,01-05-2019,May,2019
India,Vermont,3451,10,300,1035300,10368,1024932,432000,592932,01-05-2019,May,2019
United States of America,Vermont,3059,10,12,36708,274.08,36433.92,3426,33007.92,01-06-2019,June,2019
Brazil,Vermont,3957,10,125,494625,1655,492970,79440,413530,01-06-2019,June,2019
Japan,Vermont,3444,10,12,41328,310.8,41017.2,3885,37132.2,01-10-2019,October,2019
Japan,Vermont,3154,10,300,946200,11496,934704,479000,455704,01-12-2019,December,2019
Japan,Vermont,4108,10,350,1437800,19964,1417836,741520,676316,01-12-2019,December,2019
Japan,Vermont,3760,10,125,470000,6822.5,463177.5,327480,135697.5,01-12-2019,December,2019
United Kingdom,Vermont,2334,10,12,28008,253.2,27754.8,3165,24589.8,01-12-2019,December,2019
Brazil,Vermont,580,10,12,6960,260.16,6699.84,3252,3447.84,01-12-2019,December,2019
United States of America,Burlington,2610,120,20,52200,626.4,51573.6,15660,35913.6,01-10-2019,October,2019
India,Burlington,1459,120,350,510650,20139,490511,748020,-257509,01-10-2019,October,2019
United Kingdom,Burlington,3774,120,12,45288,253.2,45034.8,3165,41869.8,01-12-2019,December,2019
Brazil,Burlington,2572,120,12,30864,260.16,30603.84,3252,27351.84,01-12-2019,December,2019
Brazil,Mandarin,320,250,125,40000,1655,38345,79440,-41095,01-06-2019,June,2019
India,Mandarin,3275,250,350,1146250,20139,1126111,748020,378091,01-10-2019,October,2019
Japan,Mandarin,3582,250,125,447750,6822.5,440927.5,327480,113447.5,01-12-2019,December,2019
India,Luxe,4056,260,300,1216800,1554,1215246,64750,1150496,01-03-2019,March,2019
Brazil,Luxe,2144,260,300,643200,6606,636594,275250,361344,01-03-2019,March,2019
India,Luxe,3502,260,125,437750,5690,432060,273120,158940,01-05-2019,May,2019
United States of America,Luxe,679,260,20,13580,494.4,13085.6,12360,725.6,01-11-2019,November,2019
United Kingdom,Luxe,2351,260,20,47020,376.4,46643.6,9410,37233.6,01-11-2019,November,2019
Japan,Luxe,2043,260,300,612900,11496,601404,479000,122404,01-12-2019,December,2019
United Kingdom,Kensington,3565,3,125,445625,15913.13,429711.88,509220,-79508.13,01-04-2019,April,2019
India,Kensington,1401,3,20,28020,1548,26472,25800,672,01-04-2019,April,2019
India,Kensington,2077,3,300,623100,6201,616899,172250,444649,01-06-2019,June,2019
United States of America,Kensington,3643,3,12,43716,700.92,43015.08,5841,37174.08,01-09-2019,September,2019
India,Royal Oak,2960,5,7,20720,411.18,20308.82,9790,10518.82,01-02-2019,February,2019
United Kingdom,Royal Oak,1201,5,12,14412,684.36,13727.64,5703,8024.64,01-06-2019,June,2019
United Kingdom,Royal Oak,2321,5,7,16247,114.24,16132.76,2720,13412.76,01-09-2019,September,2019
United Kingdom,Royal Oak,3972,5,125,496500,4826.25,491673.75,154440,337233.75,01-12-2019,December,2019
India,Royal Oak,3878,5,125,484750,6397.5,478352.5,204720,273632.5,01-12-2019,December,2019
United Kingdom,Vermont,2278,10,300,683400,21910.5,661489.5,608625,52864.5,01-01-2019,January,2019
Japan,Vermont,1075,10,125,134375,6652.5,127722.5,212880,-85157.5,01-03-2019,March,2019
United Kingdom,Vermont,4050,10,12,48600,684.36,47915.64,5703,42212.64,01-06-2019,June,2019
India,Vermont,3035,10,300,910500,6201,904299,172250,732049,01-06-2019,June,2019
India,Vermont,3636,10,125,454500,5887.5,448612.5,188400,260212.5,01-06-2019,June,2019
United States of America,Vermont,1379,10,12,16548,493.02,16054.98,4108.5,11946.48,01-07-2019,July,2019
Japan,Vermont,4492,10,125,561500,7533.75,553966.25,241080,312886.25,01-10-2019,October,2019
United Kingdom,Vermont,1744,10,125,218000,4826.25,213173.75,154440,58733.75,01-12-2019,December,2019
India,Vermont,2341,10,125,292625,6397.5,286227.5,204720,81507.5,01-12-2019,December,2019
Japan,Burlington,3835,120,125,479375,7533.75,471841.25,241080,230761.25,01-10-2019,October,2019
United States of America,Mandarin,1161,250,300,348300,25596,322704,711000,-388296,01-02-2019,February,2019
Brazil,Burlington,1732,120,7,12124,559.86,11564.14,6665,4899.14,01-11-2019,November,2019
United States of America,Mandarin,1759,250,15,26385,1037.7,25347.3,11530,13817.3,01-10-2019,October,2019
Brazil,Kensington,338,3,12,4056,610.68,3445.32,2181,1264.32,01-02-2019,February,2019
Japan,Kensington,3911,3,12,46932,1582.56,45349.44,5652,39697.44,01-08-2019,August,2019
Brazil,Royal Oak,4473,5,12,53676,1965.6,51710.4,7020,44690.4,01-01-2019,January,2019
United Kingdom,Royal Oak,383,5,12,4596,1967.28,2628.72,7026,-4397.28,01-11-2019,November,2019
Japan,Burlington,1062,120,15,15930,1325.1,14604.9,12620,1984.9,01-05-2019,May,2019
Japan,Burlington,4083,120,7,28581,556.15,28024.85,5675,22349.85,01-06-2019,June,2019
United States of America,Burlington,3974,120,7,27818,268.03,27549.97,2735,24814.97,01-11-2019,November,2019
Japan,Burlington,3723,120,7,26061,775.18,25285.82,7910,17375.82,01-12-2019,December,2019
United Kingdom,Mandarin,2435,250,12,29220,1460.34,27759.66,5215.5,22544.16,01-04-2019,April,2019
Japan,Mandarin,1763,250,7,12341,775.18,11565.82,7910,3655.82,01-12-2019,December,2019
Japan,Luxe,4473,260,7,31311,556.15,30754.85,5675,25079.85,01-06-2019,June,2019
United States of America,Kensington,1246,3,350,436100,43144.5,392955.5,457860,-64904.5,01-03-2019,March,2019
United Kingdom,Kensington,1615,3,300,484500,9408,475092,112000,363092,01-06-2019,June,2019
United Kingdom,Kensington,749,3,300,224700,45801,178899,545250,-366351,01-10-2019,October,2019
United Kingdom,Royal Oak,1318,5,20,26360,2766.4,23593.6,19760,3833.6,01-10-2019,October,2019
United Kingdom,Royal Oak,2882,5,300,864600,45801,818799,545250,273549,01-10-2019,October,2019
Japan,Vermont,2484,10,300,745200,35742,709458,425500,283958,01-05-2019,May,2019
United Kingdom,Vermont,3169,10,300,950700,9408,941292,112000,829292,01-06-2019,June,2019
India,Vermont,4080,10,125,510000,30738.75,479261.25,421560,57701.25,01-07-2019,July,2019
United Kingdom,Vermont,3943,10,15,59145,2206.05,56938.95,21010,35928.95,01-08-2019,August,2019
United Kingdom,Vermont,253,10,20,5060,2149,2911,15350,-12439,01-09-2019,September,2019
United Kingdom,Burlington,799,120,300,239700,34839,204861,414750,-209889,01-07-2019,July,2019
Brazil,Burlington,3942,120,20,78840,852.6,77987.4,6090,71897.4,01-08-2019,August,2019
India,Burlington,2498,120,125,312250,18261.25,293988.75,250440,43548.75,01-09-2019,September,2019
United Kingdom,Burlington,2517,120,20,50340,2766.4,47573.6,19760,27813.6,01-10-2019,October,2019
United States of America,Burlington,1145,120,300,343500,28812,314688,343000,-28312,01-12-2019,December,2019
Japan,Mandarin,3814,250,12,45768,2725.38,43042.62,9733.5,33309.12,01-01-2019,January,2019
United Kingdom,Mandarin,1188,250,300,356400,20139,336261,239750,96511,01-02-2019,February,2019
Brazil,Mandarin,2233,250,300,669900,57687,612213,686750,-74537,01-02-2019,February,2019
Japan,Luxe,421,260,125,52625,14393.75,38231.25,197400,-159168.75,01-05-2019,May,2019
United Kingdom,Luxe,269,260,350,94150,70462,23688,747760,-724072,01-09-2019,September,2019
Japan,Luxe,952,260,20,19040,1565.2,17474.8,11180,6294.8,01-11-2019,November,2019
United States of America,Luxe,2964,260,300,889200,28812,860388,343000,517388,01-12-2019,December,2019
Japan,Royal Oak,1505,5,7,10535,273.28,10261.72,2440,7821.72,01-02-2019,February,2019
United States of America,Royal Oak,1678,5,20,33560,2051.2,31508.8,12820,18688.8,01-06-2019,June,2019
Japan,Vermont,4249,10,7,29743,143.92,29599.08,1285,28314.08,01-05-2019,May,2019
United States of America,Luxe,1677,260,20,33540,2051.2,31488.8,12820,18668.8,01-06-2019,June,2019
Brazil,Kensington,3051,3,125,381375,15400,365975,184800,181175,01-08-2019,August,2019
United Kingdom,Kensington,3372,3,15,50580,588,49992,4900,45092,01-11-2019,November,2019
Brazil,Kensington,1686,3,350,590100,38136,551964,354120,197844,01-12-2019,December,2019
United Kingdom,Royal Oak,3086,5,15,46290,3001.2,43288.8,25010,18278.8,01-03-2019,March,2019
Japan,Royal Oak,4150,5,20,83000,1132.8,81867.2,7080,74787.2,01-06-2019,June,2019
India,Royal Oak,3027,5,20,60540,1032,59508,6450,53058,01-07-2019,July,2019
United Kingdom,Royal Oak,4359,5,300,1307700,37488,1270212,390500,879712,01-08-2019,August,2019
India,Royal Oak,1589,5,15,23835,853.2,22981.8,7110,15871.8,01-12-2019,December,2019
Brazil,Vermont,2679,10,125,334875,11140,323735,133680,190055,01-03-2019,March,2019
India,Vermont,3401,10,7,23807,705.04,23101.96,6295,16806.96,01-04-2019,April,2019
India,Vermont,2815,10,7,19705,613.2,19091.8,5475,13616.8,01-05-2019,May,2019
India,Vermont,2964,10,20,59280,2185.6,57094.4,13660,43434.4,01-06-2019,June,2019
Brazil,Vermont,4173,10,300,1251900,59040,1192860,615000,577860,01-06-2019,June,2019
United States of America,Vermont,1157,10,7,8099,379.68,7719.32,3390,4329.32,01-08-2019,August,2019
India,Vermont,3065,10,7,21455,894.88,20560.12,7990,12570.12,01-08-2019,August,2019
India,Vermont,4080,10,20,81600,3094.4,78505.6,19340,59165.6,01-09-2019,September,2019
Brazil,Vermont,1713,10,20,34260,4788.8,29471.2,29930,-458.8,01-09-2019,September,2019
Brazil,Vermont,1691,10,350,591850,38136,553714,354120,199594,01-12-2019,December,2019
Japan,Burlington,2305,120,12,27660,574.08,27085.92,1794,25291.92,01-03-2019,March,2019
United States of America,Burlington,3401,120,7,23807,1627.92,22179.08,14535,7644.08,01-06-2019,June,2019
India,Burlington,2288,120,7,16016,1309.28,14706.72,11690,3016.72,01-06-2019,June,2019
Brazil,Burlington,4086,120,300,1225800,15240,1210560,158750,1051810,01-12-2019,December,2019
United Kingdom,Mandarin,2651,250,350,927850,16086,911764,149370,762394,01-04-2019,April,2019
India,Mandarin,3971,250,7,27797,1309.28,26487.72,11690,14797.72,01-06-2019,June,2019
United Kingdom,Mandarin,2512,250,350,879200,10668,868532,99060,769472,01-08-2019,August,2019
India,Mandarin,2745,250,350,960750,11816,948934,109720,839214,01-08-2019,August,2019
Japan,Mandarin,1903,250,300,570900,51216,519684,533500,-13816,01-09-2019,September,2019
Japan,Luxe,2914,260,20,58280,1132.8,57147.2,7080,50067.2,01-06-2019,June,2019
United States of America,Luxe,1889,260,7,13223,1627.92,11595.08,14535,-2939.92,01-06-2019,June,2019
India,Luxe,1466,260,20,29320,2185.6,27134.4,13660,13474.4,01-06-2019,June,2019
Brazil,Luxe,887,260,300,266100,59040,207060,615000,-407940,01-06-2019,June,2019
India,Luxe,395,260,20,7900,2432,5468,15200,-9732,01-11-2019,November,2019
India,Luxe,1693,260,15,25395,853.2,24541.8,7110,17431.8,01-12-2019,December,2019
Brazil,Luxe,2649,260,300,794700,15240,779460,158750,620710,01-12-2019,December,2019
United States of America,Mandarin,3608,250,20,72160,698.4,71461.6,4365,67096.6,01-07-2019,July,2019
Japan,Kensington,1073,3,300,321900,29538,292362,273500,18862,01-06-2019,June,2019
Japan,Royal Oak,2167,5,300,650100,102667.5,547432.5,950625,-403192.5,01-04-2019,April,2019
United Kingdom,Royal Oak,1319,5,350,461650,52479,409171,433160,-23989,01-05-2019,May,2019
Japan,Royal Oak,1252,5,12,15024,2506.68,12517.32,6963,5554.32,01-11-2019,November,2019
United States of America,Royal Oak,1156,5,125,144500,31466.25,113033.75,335640,-222606.25,01-12-2019,December,2019
Brazil,Vermont,1153,10,300,345900,69255,276645,641250,-364605,01-01-2019,January,2019
Brazil,Vermont,2720,10,350,952000,76135.5,875864.5,628420,247444.5,01-01-2019,January,2019
United States of America,Vermont,3658,10,15,54870,4961.25,49908.75,36750,13158.75,01-04-2019,April,2019
Japan,Vermont,2950,10,300,885000,29538,855462,273500,581962,01-06-2019,June,2019
United Kingdom,Vermont,1821,10,15,27315,1656.45,25658.55,12270,13388.55,01-10-2019,October,2019
United Kingdom,Vermont,1127,10,300,338100,35748,302352,331000,-28648,01-11-2019,November,2019
United States of America,Vermont,862,10,125,107750,31466.25,76283.75,335640,-259356.25,01-12-2019,December,2019
Brazil,Burlington,3805,120,15,57075,330.75,56744.25,2450,54294.25,01-05-2019,May,2019
Japan,Burlington,1415,120,300,424500,102424.5,322075.5,948375,-626299.5,01-07-2019,July,2019
India,Burlington,2231,120,350,780850,41170.5,739679.5,339820,399859.5,01-07-2019,July,2019
Japan,Burlington,3649,120,125,456125,6378.75,449746.25,68040,381706.25,01-09-2019,September,2019
Brazil,Burlington,2948,120,125,368500,23737.5,344762.5,253200,91562.5,01-09-2019,September,2019
Japan,Burlington,3395,120,350,1188250,39973.5,1148276.5,329940,818336.5,01-10-2019,October,2019
United States of America,Mandarin,2650,250,12,31800,2112.48,29687.52,5868,23819.52,01-01-2019,January,2019
India,Mandarin,585,250,300,175500,71793,103707,664750,-561043,01-02-2019,February,2019
United States of America,Mandarin,1316,250,350,460600,42572.25,418027.75,351390,66637.75,01-04-2019,April,2019
India,Mandarin,4459,250,12,53508,950.4,52557.6,2640,49917.6,01-05-2019,May,2019
United States of America,Mandarin,2711,250,300,813300,50409,762891,466750,296141,01-09-2019,September,2019
United Kingdom,Mandarin,3613,250,15,54195,1656.45,52538.55,12270,40268.55,01-10-2019,October,2019
Brazil,Mandarin,1847,250,125,230875,9866.25,221008.75,105240,115768.75,01-11-2019,November,2019
United States of America,Luxe,2996,260,350,1048600,65236.5,983363.5,538460,444903.5,01-09-2019,September,2019
Japan,Luxe,2838,260,350,993300,39973.5,953326.5,329940,623386.5,01-10-2019,October,2019
Brazil,Luxe,1536,260,20,30720,3049.2,27670.8,16940,10730.8,01-11-2019,November,2019
India,Kensington,1291,3,20,25820,1193.4,24626.6,6630,17996.6,01-05-2019,May,2019
Japan,Kensington,1213,3,7,8491,515.97,7975.03,4095,3880.03,01-07-2019,July,2019
India,Kensington,2370,3,12,28440,1706.4,26733.6,4740,21993.6,01-09-2019,September,2019
Brazil,Kensington,1979,3,7,13853,328.23,13524.77,2605,10919.77,01-12-2019,December,2019
United States of America,Vermont,2879,10,20,57580,1751.4,55828.6,9730,46098.6,01-03-2019,March,2019
Brazil,Vermont,1707,10,20,34140,1868.4,32271.6,10380,21891.6,01-06-2019,June,2019
India,Vermont,2933,10,7,20531,226.8,20304.2,1800,18504.2,01-10-2019,October,2019
United Kingdom,Burlington,1014,120,12,12168,2124.36,10043.64,5901,4142.64,01-03-2019,March,2019
Brazil,Burlington,693,120,15,10395,3547.8,6847.2,26280,-19432.8,01-04-2019,April,2019
India,Mandarin,3741,250,7,26187,226.8,25960.2,1800,24160.2,01-10-2019,October,2019
Brazil,Mandarin,3995,250,7,27965,328.23,27636.77,2605,25031.77,01-12-2019,December,2019
Brazil,Luxe,953,260,20,19060,1868.4,17191.6,10380,6811.6,01-06-2019,June,2019
Japan,Luxe,2530,260,15,37950,2201.18,35748.83,16305,19443.83,01-07-2019,July,2019
United States of America,Royal Oak,2871,5,7,20097,1629.6,18467.4,11640,6827.4,01-09-2019,September,2019
United States of America,Kensington,1598,3,125,199750,43068.75,156681.25,413460,-256778.75,01-04-2019,April,2019
United States of America,Royal Oak,2836,5,350,992600,80955,911645,601380,310265,01-05-2019,May,2019
United Kingdom,Royal Oak,3994,5,15,59910,3108,56802,20720,36082,01-12-2019,December,2019
United Kingdom,Vermont,2928,10,20,58560,3908,54652,19540,35112,01-03-2019,March,2019
Brazil,Vermont,2912,10,300,873600,17730,855870,147750,708120,01-05-2019,May,2019
India,Vermont,2778,10,20,55560,482,55078,2410,52668,01-10-2019,October,2019
India,Burlington,405,120,15,6075,1021.5,5053.5,6810,-1756.5,01-01-2019,January,2019
India,Burlington,2013,120,15,30195,765,29430,5100,24330,01-04-2019,April,2019
United States of America,Burlington,2634,120,15,39510,1185,38325,7900,30425,01-05-2019,May,2019
United Kingdom,Burlington,4166,120,350,1458100,22365,1435735,166140,1269595,01-07-2019,July,2019
United States of America,Burlington,355,120,125,44375,19950,24425,191520,-167095,01-09-2019,September,2019
India,Burlington,4170,120,20,83400,482,82918,2410,80508,01-10-2019,October,2019
India,Burlington,892,120,7,6244,1865.5,4378.5,13325,-8946.5,01-11-2019,November,2019
United Kingdom,Burlington,3389,120,300,1016700,25590,991110,213250,777860,01-12-2019,December,2019
Brazil,Mandarin,2990,250,125,373750,4262.5,369487.5,40920,328567.5,01-05-2019,May,2019
Brazil,Mandarin,4013,250,15,60195,961.5,59233.5,6410,52823.5,01-07-2019,July,2019
United States of America,Mandarin,739,250,350,258650,98245,160405,729820,-569415,01-08-2019,August,2019
Brazil,Mandarin,1989,250,300,596700,12960,583740,108000,475740,01-09-2019,September,2019
Japan,Mandarin,1442,250,125,180250,31612.5,148637.5,303480,-154842.5,01-11-2019,November,2019
United States of America,Luxe,1508,260,125,188500,7237.5,181262.5,69480,111782.5,01-01-2019,January,2019
Japan,Luxe,4245,260,350,1485750,78400,1407350,582400,824950,01-02-2019,February,2019
United States of America,Luxe,2630,260,300,789000,89790,699210,748250,-49040,01-03-2019,March,2019
Japan,Luxe,1182,260,12,14184,4224.6,9959.4,10561.5,-602.1,01-04-2019,April,2019
Brazil,Luxe,1221,260,20,24420,4078,20342,20390,-48,01-05-2019,May,2019
India,Luxe,963,260,12,11556,3088.8,8467.2,7722,745.2,01-08-2019,August,2019
Japan,Luxe,3243,260,350,1135050,24745,1110305,183820,926485,01-09-2019,September,2019
United Kingdom,Luxe,1120,260,15,16800,3108,13692,20720,-7028,01-12-2019,December,2019
United Kingdom,Luxe,1174,260,300,352200,25590,326610,213250,113360,01-12-2019,December,2019
United Kingdom,Vermont,3246,10,7,22722,1949.64,20772.36,12660,8112.36,01-04-2019,April,2019
Japan,Burlington,2526,120,15,37890,633.6,37256.4,3840,33416.4,01-01-2019,January,2019
India,Burlington,1136,120,12,13632,623.04,13008.96,1416,11592.96,01-10-2019,October,2019
United States of America,Mandarin,1983,250,7,13881,1215.83,12665.17,7895,4770.17,01-03-2019,March,2019
United States of America,Luxe,3267,260,15,49005,5279.18,43725.83,31995,11730.83,01-07-2019,July,2019
India,Luxe,2454,260,12,29448,623.04,28824.96,1416,27408.96,01-10-2019,October,2019
Japan,Kensington,2643,3,12,31716,2556.84,29159.16,5811,23348.16,01-02-2019,February,2019
India,Kensington,383,3,350,134050,30492,103558,205920,-102362,01-03-2019,March,2019
India,Kensington,2801,3,300,840300,92763,747537,702750,44787,01-07-2019,July,2019
United Kingdom,Kensington,1667,3,125,208375,33563.75,174811.25,292920,-118108.75,01-10-2019,October,2019
India,Royal Oak,2220,5,350,777000,29491,747509,199160,548349,01-01-2019,January,2019
Brazil,Royal Oak,553,5,15,8295,3559.05,4735.95,21570,-16834.05,01-12-2019,December,2019
Japan,Vermont,2107,10,300,632100,28809,603291,218250,385041,01-01-2019,January,2019
Brazil,Vermont,2468,10,20,49360,2468.4,46891.6,11220,35671.6,01-03-2019,March,2019
Japan,Vermont,1905,10,350,666750,81023.25,585726.75,547170,38556.75,01-07-2019,July,2019
Japan,Vermont,3658,10,12,43896,5314.32,38581.68,12078,26503.68,01-07-2019,July,2019
United Kingdom,Vermont,4301,10,12,51612,3201.66,48410.34,7276.5,41133.84,01-07-2019,July,2019
Japan,Vermont,2446,10,20,48920,5266.8,43653.2,23940,19713.2,01-08-2019,August,2019
Brazil,Vermont,4209,10,15,63135,3273.6,59861.4,19840,40021.4,01-08-2019,August,2019
United Kingdom,Vermont,3353,10,125,419125,33563.75,385561.25,292920,92641.25,01-10-2019,October,2019
Japan,Vermont,1865,10,300,559500,45078,514422,341500,172922,01-11-2019,November,2019
Japan,Burlington,1930,120,7,13510,1392.16,12117.84,9040,3077.84,01-11-2019,November,2019
United Kingdom,Mandarin,1301,250,12,15612,2288.88,13323.12,5202,8121.12,01-01-2019,January,2019
Brazil,Mandarin,4125,250,125,515625,7617.5,508007.5,66480,441527.5,01-01-2019,January,2019
India,Luxe,478,260,125,59750,43518.75,16231.25,379800,-363568.75,01-01-2019,January,2019
Brazil,Luxe,4489,260,20,89780,5783.8,83996.2,26290,57706.2,01-01-2019,January,2019
United Kingdom,Luxe,1504,260,125,188000,19703.75,168296.25,171960,-3663.75,01-05-2019,May,2019
Brazil,Luxe,2342,260,15,35130,3559.05,31570.95,21570,10000.95,01-12-2019,December,2019
Brazil,Kensington,3796,3,350,1328600,37212,1291388,230360,1061028,01-06-2019,June,2019
Brazil,Kensington,3614,3,125,451750,32340,419410,258720,160690,01-10-2019,October,2019
Japan,Kensington,1716,3,15,25740,4840.2,20899.8,26890,-5990.2,01-11-2019,November,2019
United States of America,Royal Oak,1301,5,15,19515,1218.6,18296.4,6770,11526.4,01-03-2019,March,2019
United Kingdom,Royal Oak,4175,5,300,1252500,63828,1188672,443250,745422,01-04-2019,April,2019
Brazil,Royal Oak,975,5,7,6825,2032.8,4792.2,12100,-7307.8,01-09-2019,September,2019
Japan,Royal Oak,1154,5,7,8078,2296.56,5781.44,13670,-7888.56,01-10-2019,October,2019
United States of America,Vermont,3558,10,300,1067400,125820,941580,873750,67830,01-01-2019,January,2019
Brazil,Vermont,3156,10,350,1104600,37212,1067388,230360,837028,01-06-2019,June,2019
Brazil,Vermont,2994,10,125,374250,32340,341910,258720,83190,01-10-2019,October,2019
Brazil,Vermont,2087,10,20,41740,2172,39568,9050,30518,01-10-2019,October,2019
United Kingdom,Vermont,1353,10,350,473550,66948,406602,414440,-7838,01-11-2019,November,2019
India,Vermont,416,10,300,124800,48924,75876,339750,-263874,01-11-2019,November,2019
Brazil,Vermont,3880,10,300,1164000,77400,1086600,537500,549100,01-11-2019,November,2019
Brazil,Vermont,809,10,350,283150,50274,232876,311220,-78344,01-11-2019,November,2019
Brazil,Vermont,2072,10,20,41440,2959.2,38480.8,12330,26150.8,01-12-2019,December,2019
Brazil,Burlington,3052,120,350,1068200,58590,1009610,362700,646910,01-07-2019,July,2019
United States of America,Burlington,3121,120,350,1092350,41412,1050938,256360,794578,01-10-2019,October,2019
Brazil,Burlington,2059,120,20,41180,2172,39008,9050,29958,01-10-2019,October,2019
Japan,Mandarin,4254,250,12,51048,3036.96,48011.04,6327,41684.04,01-05-2019,May,2019
